time_s,standard_frequency_hz,transient_frequency_hz,standard_power_pu,transient_power_pu,standard_gate_pu,transient_gate_pu
2.81,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.82,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.83,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.84,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.85,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.86,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.87,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.88,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.89,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.90,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.91,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.92,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.93,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.94,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.95,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.96,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.97,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.98,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.99,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.00,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.01,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.02,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.03,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.04,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.05,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.06,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.07,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.08,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.09,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.10,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.11,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.12,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.13,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.14,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.15,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.16,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.17,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.18,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.19,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.20,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.21,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.22,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.23,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.24,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.25,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.26,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.27,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.28,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.29,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.30,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.31,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.32,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
3.33,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
